Real Image,Fake Image,SSIM,MSE,PSNR,MAE,PCC
C:/Users/pato_/Documents/Code Projects/OCT2Hist-ModelEvaluation-ComputeSimilarityMeasures/images/Paulo CycleGAN/LD-11-Slide06_Section01_yp0_patch01_real_A_real.png,C:/Users/pato_/Documents/Code Projects/OCT2Hist-ModelEvaluation-ComputeSimilarityMeasures/images/Paulo CycleGAN/LD-11-Slide06_Section01_yp0_patch01_real_A_fake.png,0.28,11103.301,7.676,91.771,0.442
C:/Users/pato_/Documents/Code Projects/OCT2Hist-ModelEvaluation-ComputeSimilarityMeasures/images/Paulo CycleGAN/LD-11-Slide06_Section02_yp0_patch01_real_A_real.png,C:/Users/pato_/Documents/Code Projects/OCT2Hist-ModelEvaluation-ComputeSimilarityMeasures/images/Paulo CycleGAN/LD-11-Slide06_Section02_yp0_patch01_real_A_fake.png,0.281,11051.961,7.696,89.613,0.462
C:/Users/pato_/Documents/Code Projects/OCT2Hist-ModelEvaluation-ComputeSimilarityMeasures/images/Paulo CycleGAN/LD-11-Slide06_Section03_yp0_patch01_real_A_real.png,C:/Users/pato_/Documents/Code Projects/OCT2Hist-ModelEvaluation-ComputeSimilarityMeasures/images/Paulo CycleGAN/LD-11-Slide06_Section03_yp0_patch01_real_A_fake.png,0.234,11531.748,7.512,89.047,0.421
C:/Users/pato_/Documents/Code Projects/OCT2Hist-ModelEvaluation-ComputeSimilarityMeasures/images/Paulo CycleGAN/LD-11-Slide07_Section01_yp0_patch01_real_A_real.png,C:/Users/pato_/Documents/Code Projects/OCT2Hist-ModelEvaluation-ComputeSimilarityMeasures/images/Paulo CycleGAN/LD-11-Slide07_Section01_yp0_patch01_real_A_fake.png,0.229,11755.98,7.428,90.468,0.412
C:/Users/pato_/Documents/Code Projects/OCT2Hist-ModelEvaluation-ComputeSimilarityMeasures/images/Paulo CycleGAN/LD-11-Slide07_Section02_yp0_patch01_real_A_real.png,C:/Users/pato_/Documents/Code Projects/OCT2Hist-ModelEvaluation-ComputeSimilarityMeasures/images/Paulo CycleGAN/LD-11-Slide07_Section02_yp0_patch01_real_A_fake.png,0.246,10482.96,7.926,87.008,0.406
C:/Users/pato_/Documents/Code Projects/OCT2Hist-ModelEvaluation-ComputeSimilarityMeasures/images/Paulo CycleGAN/LD-11-Slide07_Section03_yp0_patch01_real_A_real.png,C:/Users/pato_/Documents/Code Projects/OCT2Hist-ModelEvaluation-ComputeSimilarityMeasures/images/Paulo CycleGAN/LD-11-Slide07_Section03_yp0_patch01_real_A_fake.png,0.219,11118.275,7.67,89.865,0.392
C:/Users/pato_/Documents/Code Projects/OCT2Hist-ModelEvaluation-ComputeSimilarityMeasures/images/Paulo CycleGAN/LD-11-Slide08_Section01_yp0_patch01_real_A_real.png,C:/Users/pato_/Documents/Code Projects/OCT2Hist-ModelEvaluation-ComputeSimilarityMeasures/images/Paulo CycleGAN/LD-11-Slide08_Section01_yp0_patch01_real_A_fake.png,0.19,12250.312,7.249,91.997,0.383
C:/Users/pato_/Documents/Code Projects/OCT2Hist-ModelEvaluation-ComputeSimilarityMeasures/images/Paulo CycleGAN/LD-11-Slide08_Section02_yp0_patch01_real_A_real.png,C:/Users/pato_/Documents/Code Projects/OCT2Hist-ModelEvaluation-ComputeSimilarityMeasures/images/Paulo CycleGAN/LD-11-Slide08_Section02_yp0_patch01_real_A_fake.png,0.249,11289.408,7.604,88.841,0.434
C:/Users/pato_/Documents/Code Projects/OCT2Hist-ModelEvaluation-ComputeSimilarityMeasures/images/Paulo CycleGAN/LD-11-Slide08_Section03_yp0_patch01_real_A_real.png,C:/Users/pato_/Documents/Code Projects/OCT2Hist-ModelEvaluation-ComputeSimilarityMeasures/images/Paulo CycleGAN/LD-11-Slide08_Section03_yp0_patch01_real_A_fake.png,0.298,10338.474,7.986,83.892,0.487
C:/Users/pato_/Documents/Code Projects/OCT2Hist-ModelEvaluation-ComputeSimilarityMeasures/images/Paulo CycleGAN/LD-11-Slide09_Section01_yp0_patch01_real_A_real.png,C:/Users/pato_/Documents/Code Projects/OCT2Hist-ModelEvaluation-ComputeSimilarityMeasures/images/Paulo CycleGAN/LD-11-Slide09_Section01_yp0_patch01_real_A_fake.png,0.336,8895.897,8.639,74.981,0.547
C:/Users/pato_/Documents/Code Projects/OCT2Hist-ModelEvaluation-ComputeSimilarityMeasures/images/Paulo CycleGAN/LD-11-Slide09_Section02_yp0_patch01_real_A_real.png,C:/Users/pato_/Documents/Code Projects/OCT2Hist-ModelEvaluation-ComputeSimilarityMeasures/images/Paulo CycleGAN/LD-11-Slide09_Section02_yp0_patch01_real_A_fake.png,0.299,9801.635,8.218,77.693,0.518
C:/Users/pato_/Documents/Code Projects/OCT2Hist-ModelEvaluation-ComputeSimilarityMeasures/images/Paulo CycleGAN/LD-11-Slide09_Section03_yp0_patch01_real_A_real.png,C:/Users/pato_/Documents/Code Projects/OCT2Hist-ModelEvaluation-ComputeSimilarityMeasures/images/Paulo CycleGAN/LD-11-Slide09_Section03_yp0_patch01_real_A_fake.png,0.329,7916.839,9.145,66.556,0.556
C:/Users/pato_/Documents/Code Projects/OCT2Hist-ModelEvaluation-ComputeSimilarityMeasures/images/Paulo CycleGAN/LD-11-Slide10_Section01_yp0_patch01_real_A_real.png,C:/Users/pato_/Documents/Code Projects/OCT2Hist-ModelEvaluation-ComputeSimilarityMeasures/images/Paulo CycleGAN/LD-11-Slide10_Section01_yp0_patch01_real_A_fake.png,0.45,4352.211,11.744,43.897,0.669
C:/Users/pato_/Documents/Code Projects/OCT2Hist-ModelEvaluation-ComputeSimilarityMeasures/images/Paulo CycleGAN/LD-11-Slide10_Section02_yp0_patch01_real_A_real.png,C:/Users/pato_/Documents/Code Projects/OCT2Hist-ModelEvaluation-ComputeSimilarityMeasures/images/Paulo CycleGAN/LD-11-Slide10_Section02_yp0_patch01_real_A_fake.png,0.47,4044.545,12.062,41.654,0.694
C:/Users/pato_/Documents/Code Projects/OCT2Hist-ModelEvaluation-ComputeSimilarityMeasures/images/Paulo CycleGAN/LD-11-Slide10_Section03_yp0_patch01_real_A_real.png,C:/Users/pato_/Documents/Code Projects/OCT2Hist-ModelEvaluation-ComputeSimilarityMeasures/images/Paulo CycleGAN/LD-11-Slide10_Section03_yp0_patch01_real_A_fake.png,0.458,3975.525,12.137,39.23,0.692
C:/Users/pato_/Documents/Code Projects/OCT2Hist-ModelEvaluation-ComputeSimilarityMeasures/images/Paulo CycleGAN/LG-03-Slide03_Section01_yp0_patch01_real_A_real.png,C:/Users/pato_/Documents/Code Projects/OCT2Hist-ModelEvaluation-ComputeSimilarityMeasures/images/Paulo CycleGAN/LG-03-Slide03_Section01_yp0_patch01_real_A_fake.png,0.222,10098.311,8.088,102.781,0.306
C:/Users/pato_/Documents/Code Projects/OCT2Hist-ModelEvaluation-ComputeSimilarityMeasures/images/Paulo CycleGAN/LG-03-Slide03_Section02_yp0_patch01_real_A_real.png,C:/Users/pato_/Documents/Code Projects/OCT2Hist-ModelEvaluation-ComputeSimilarityMeasures/images/Paulo CycleGAN/LG-03-Slide03_Section02_yp0_patch01_real_A_fake.png,0.142,12096.099,7.304,110.41,0.213
C:/Users/pato_/Documents/Code Projects/OCT2Hist-ModelEvaluation-ComputeSimilarityMeasures/images/Paulo CycleGAN/LG-03-Slide03_Section03_yp0_patch01_real_A_real.png,C:/Users/pato_/Documents/Code Projects/OCT2Hist-ModelEvaluation-ComputeSimilarityMeasures/images/Paulo CycleGAN/LG-03-Slide03_Section03_yp0_patch01_real_A_fake.png,0.109,12776.703,7.067,114.061,0.167
C:/Users/pato_/Documents/Code Projects/OCT2Hist-ModelEvaluation-ComputeSimilarityMeasures/images/Paulo CycleGAN/LG-03-Slide04_Section01_yp0_patch01_real_A_real.png,C:/Users/pato_/Documents/Code Projects/OCT2Hist-ModelEvaluation-ComputeSimilarityMeasures/images/Paulo CycleGAN/LG-03-Slide04_Section01_yp0_patch01_real_A_fake.png,0.283,9707.81,8.26,90.801,0.45
C:/Users/pato_/Documents/Code Projects/OCT2Hist-ModelEvaluation-ComputeSimilarityMeasures/images/Paulo CycleGAN/LG-03-Slide04_Section02_yp0_patch01_real_A_real.png,C:/Users/pato_/Documents/Code Projects/OCT2Hist-ModelEvaluation-ComputeSimilarityMeasures/images/Paulo CycleGAN/LG-03-Slide04_Section02_yp0_patch01_real_A_fake.png,0.262,10979.686,7.725,87.816,0.488
C:/Users/pato_/Documents/Code Projects/OCT2Hist-ModelEvaluation-ComputeSimilarityMeasures/images/Paulo CycleGAN/LG-03-Slide04_Section03_yp0_patch01_real_A_real.png,C:/Users/pato_/Documents/Code Projects/OCT2Hist-ModelEvaluation-ComputeSimilarityMeasures/images/Paulo CycleGAN/LG-03-Slide04_Section03_yp0_patch01_real_A_fake.png,0.264,10726.766,7.826,88.653,0.458
C:/Users/pato_/Documents/Code Projects/OCT2Hist-ModelEvaluation-ComputeSimilarityMeasures/images/Paulo CycleGAN/LG-03-Slide05_Section01_yp0_patch01_real_A_real.png,C:/Users/pato_/Documents/Code Projects/OCT2Hist-ModelEvaluation-ComputeSimilarityMeasures/images/Paulo CycleGAN/LG-03-Slide05_Section01_yp0_patch01_real_A_fake.png,0.121,13033.997,6.98,106.784,0.228
C:/Users/pato_/Documents/Code Projects/OCT2Hist-ModelEvaluation-ComputeSimilarityMeasures/images/Paulo CycleGAN/LG-03-Slide05_Section02_yp0_patch01_real_A_real.png,C:/Users/pato_/Documents/Code Projects/OCT2Hist-ModelEvaluation-ComputeSimilarityMeasures/images/Paulo CycleGAN/LG-03-Slide05_Section02_yp0_patch01_real_A_fake.png,0.114,12669.951,7.103,113.476,0.173
C:/Users/pato_/Documents/Code Projects/OCT2Hist-ModelEvaluation-ComputeSimilarityMeasures/images/Paulo CycleGAN/LG-03-Slide05_Section03_yp0_patch01_real_A_real.png,C:/Users/pato_/Documents/Code Projects/OCT2Hist-ModelEvaluation-ComputeSimilarityMeasures/images/Paulo CycleGAN/LG-03-Slide05_Section03_yp0_patch01_real_A_fake.png,0.279,10197.151,8.046,93.67,0.438
C:/Users/pato_/Documents/Code Projects/OCT2Hist-ModelEvaluation-ComputeSimilarityMeasures/images/Paulo CycleGAN/LG-03-Slide06_Section01_yp0_patch01_real_A_real.png,C:/Users/pato_/Documents/Code Projects/OCT2Hist-ModelEvaluation-ComputeSimilarityMeasures/images/Paulo CycleGAN/LG-03-Slide06_Section01_yp0_patch01_real_A_fake.png,0.275,10017.438,8.123,92.556,0.44
C:/Users/pato_/Documents/Code Projects/OCT2Hist-ModelEvaluation-ComputeSimilarityMeasures/images/Paulo CycleGAN/LG-03-Slide06_Section02_yp0_patch01_real_A_real.png,C:/Users/pato_/Documents/Code Projects/OCT2Hist-ModelEvaluation-ComputeSimilarityMeasures/images/Paulo CycleGAN/LG-03-Slide06_Section02_yp0_patch01_real_A_fake.png,0.268,11077.659,7.686,90.959,0.478
C:/Users/pato_/Documents/Code Projects/OCT2Hist-ModelEvaluation-ComputeSimilarityMeasures/images/Paulo CycleGAN/LG-03-Slide06_Section03_yp0_patch01_real_A_real.png,C:/Users/pato_/Documents/Code Projects/OCT2Hist-ModelEvaluation-ComputeSimilarityMeasures/images/Paulo CycleGAN/LG-03-Slide06_Section03_yp0_patch01_real_A_fake.png,0.176,11208.534,7.635,105.96,0.27
